pl_name,pl_rade,pl_masse,pl_radj,pl_massj,pl_dens,st_dist,pl_disc,pl_telescope,pl_eqt,pl_discmethod,pl_facility,pl_mnum,pl_pelink,pl_edelink,pl_cbflag,pl_orbper,pl_pnum,ra,dec,st_spstr,st_age,pl_ratdor,st_rad,rowupdate
BD+20 2457 c,,,,,,,2009,9.2 m Hobby-Eberly Telescope,,Radial Velocity,McDonald Observatory,0,http://exoplanet.eu/catalog/bd20_2457_c/,http://exoplanets.org/detail/BD_+20_2457_c,0,621.99000000,2,154.186910,19.891409,K2 II,,,49.00,2014-05-14
BD+20 274 b,,,,,,,2012,9.2 m Hobby-Eberly Telescope,,Radial Velocity,McDonald Observatory,0,http://exoplanet.eu/catalog/bd+20_274_c/,,0,578.20000000,1,25.920324,21.005314,K5 III,,,17.30,2015-09-18
BD+48 738 b,,,,,,,2011,9.2 m Hobby-Eberly Telescope,,Radial Velocity,McDonald Observatory,0,http://exoplanet.eu/catalog/bd_+48_738_b/,http://exoplanets.org/detail/BD_+48_738_b,0,392.60000000,1,40.710224,49.586960,K0 III,,,11.00,2015-08-13
BD+49 828 b,,,,,,,2015,9.2 m Hobby-Eberly Telescope,,Radial Velocity,McDonald Observatory,0,http://exoplanet.eu/catalog/bd+49_828/,,0,2590.00000000,1,45.640529,49.730011,K0,2.340,,7.60,2015-02-05
BD-06 1339 b,,,,,,20.10,2013,3.6 m ESO Telescope,,Radial Velocity,La Silla Observatory,0,http://exoplanet.eu/catalog/bd-061339_b/,,0,3.87280000,2,88.251183,-5.994844,K7/M0 V,4.400,,,2014-05-14
BD-06 1339 c,,,,,,20.10,2013,3.6 m ESO Telescope,,Radial Velocity,La Silla Observatory,0,http://exoplanet.eu/catalog/bd-061339_c/,,0,125.94000000,2,88.251183,-5.994844,K7/M0 V,4.400,,,2014-05-14
BD-08 2823 b,,,,,,42.09,2009,3.6 m ESO Telescope,,Radial Velocity,La Silla Observatory,0,http://exoplanet.eu/catalog/bd-082823_b/,http://exoplanets.org/detail/BD_-08_2823_b,0,5.60000000,2,150.198837,-9.516680,K3 V,4.500,,,2014-05-14
BD-08 2823 c,,,,,,42.09,2009,3.6 m ESO Telescope,,Radial Velocity,La Silla Observatory,0,http://exoplanet.eu/catalog/bd-082823_c/,http://exoplanets.org/detail/BD_-08_2823_c,0,237.60000000,2,150.198837,-9.516680,K3 V,4.500,,,2014-05-14
BD-10 3166 b,,,,,,80.00,2000,10 m Keck I Telescope,,Radial Velocity,W. M. Keck Observatory,0,http://exoplanet.eu/catalog/bd-10_3166_b/,http://exoplanets.org/detail/BD_-10_3166_b,0,3.48777000,1,164.620003,-10.770376,K0 V,,,,2014-08-27
BD-11 4672 b,,,,,,27.30,2014,3.6 m ESO Telescope,,Radial Velocity,La Silla Observatory,0,,,0,1667.00000000,1,278.370148,-11.636039,K7 V,4.400,,0.52,2015-01-08
