HIP 107773 b
HIP 116454 b
HIP 12961 b
HIP 14810 b
HIP 14810 c
HIP 14810 d
HIP 5158 b
HIP 5158 c
HIP 57050 b
HIP 57274 b
HIP 57274 c
HIP 57274 d
HIP 63242 b
HIP 65891 b
HIP 67851 b
HIP 67851 c
HIP 70849 b
HIP 75458 b
HIP 78530 b
HIP 79431 b
HIP 91258 b
HIP 97233 b
HN Peg b
HR 810 b
HR 8799 b
HR 8799 c
HR 8799 d
HR 8799 e
K2-10 b
K2-11 b
K2-12 b
K2-13 b
K2-14 b
K2-15 b
K2-16 b
K2-16 c
K2-17 b
K2-18 b
K2-19 b
K2-19 c
K2-21 b
K2-21 c
K2-22 b
K2-3 b
K2-3 c
K2-3 d
K2-4 b
K2-5 b
K2-5 c
K2-6 b
K2-7 b
K2-8 b
K2-9 b
KELT-1 b
KELT-2 A b
KELT-3 b
KELT-6 b
KELT-6 c
KELT-7 b
KELT-8 b
KIC 10001893 b
KIC 10001893 c
KIC 10001893 d
KOI-12 b
KOI-13 b
KOI-142 b
KOI-142 c
KOI-217 b
KOI-351 b
KOI-351 c
KOI-351 d
KOI-351 e
KOI-351 f
KOI-351 g
KOI-351 h
KOI-55 b
KOI-55 c
KOI-94 b
KOI-94 c
KOI-94 d
KOI-94 e
Kapteyn c
Kepler-10 b
Kepler-10 c
Kepler-100 b
Kepler-100 c
Kepler-100 d
Kepler-101 b
Kepler-101 c
Kepler-102 b
Kepler-102 c
Kepler-102 d
Kepler-102 e
Kepler-102 f
Kepler-103 b
Kepler-103 c
Kepler-104 b
Kepler-104 c
Kepler-104 d
Kepler-105 b
Kepler-105 c
Kepler-106 b
Kepler-106 c
Kepler-106 d
Kepler-106 e
Kepler-107 b
Kepler-107 c
Kepler-107 d
Kepler-107 e
Kepler-108 b
Kepler-108 c
Kepler-109 b
Kepler-109 c
Kepler-11 b
Kepler-11 c
Kepler-11 d
Kepler-11 e
Kepler-11 f
Kepler-11 g
Kepler-110 b
Kepler-110 c
Kepler-111 b
Kepler-111 c
Kepler-112 b
Kepler-112 c
Kepler-113 b
Kepler-113 c
Kepler-114 b
Kepler-114 c
Kepler-114 d
Kepler-115 b
Kepler-115 c
Kepler-116 b
Kepler-116 c
Kepler-117 b
Kepler-117 c
Kepler-118 b
Kepler-118 c
Kepler-119 b
Kepler-119 c
Kepler-12 b
Kepler-120 b
Kepler-120 c
Kepler-121 b
Kepler-121 c
Kepler-122 b
Kepler-122 c
Kepler-122 d
Kepler-122 e
Kepler-122 f
Kepler-123 b
