pl_name,pl_rade,pl_masse,pl_radj,pl_massj,st_dist,pl_disc,pl_telescope,pl_eqt
GJ 676 A b,,,,,16.13,2010,3.6 m ESO Telescope,
GJ 676 A d,,,,,16.13,2012,3.6 m ESO Telescope,
GJ 676 A e,,,,,16.13,2012,3.6 m ESO Telescope,
GJ 687 b,,,,,4.53,2014,2.4 m Automated Planet Finder Telescope,
GJ 832 b,,,,,4.94,2008,3.9 m Anglo-Australian Telescope,
GJ 832 c,,,,,4.94,2014,Multiple Telescopes,
GJ 849 b,,,,,8.77,2006,10 m Keck I Telescope,
GJ 86 b,,,,,10.91,1999,1.2 m Leonhard Euler Telescope,
GJ 876 b,,723.22350,,2.27560,4.70,1998,Multiple Telescopes,
GJ 876 c,,226.98460,,0.71420,4.70,2000,Multiple Telescopes,
GJ 876 d,,6.83000,,0.02100,4.70,2005,10 m Keck I Telescope,
GJ 876 e,,14.60000,,0.04600,4.70,2010,10 m Keck I Telescope,
GQ Lup b,33.600,6356.00000,3.000,20.00000,139.00,2004,8.2 m ESO VLT UT4 Yepun Telescope,2650
GSC 06214-00210 b,,5000.00000,,16.00000,145.00,2010,5.1 m Hale Telescope,2300
GU Psc b,14.179,3591.30000,1.265,11.30000,48.00,2014,8.19 m Gemini South Telescope,1050
HAT-P-1 b,14.785,166.86075,1.319,0.52500,139.00,2006,Canon 200mm f/1.8L,1322
HAT-P-11 b,4.730,25.74300,0.422,0.08100,38.00,2008,Canon 200mm f/1.8L,878
HAT-P-12 b,10.749,67.05900,0.959,0.21100,142.50,2009,Canon 200mm f/1.8L,963
HAT-P-13 b,14.258,270.46200,1.272,0.85100,214.00,2009,Canon 200mm f/1.8L,
HAT-P-13 c,,,,,214.00,2009,Canon 200mm f/1.8L,
HAT-P-14 b,12.890,709.36700,1.150,2.23200,205.00,2010,Canon 200mm f/1.8L,1570
HAT-P-15 b,12.016,618.47100,1.072,1.94600,190.00,2010,Canon 200mm f/1.8L,904
HAT-P-16 b,14.448,1332.60500,1.289,4.19300,235.00,2010,Canon 200mm f/1.8L,1626
HAT-P-17 b,11.321,169.71000,1.010,0.53400,90.00,2010,Canon 200mm f/1.8L,792
HAT-P-17 c,,,,,90.00,2010,Canon 200mm f/1.8L,
HAT-P-18 b,11.153,62.61000,0.995,0.19700,166.00,2010,Canon 200mm f/1.8L,852
HAT-P-19 b,12.689,92.80200,1.132,0.29200,215.00,2010,Canon 200mm f/1.8L,1010
HAT-P-2 b,12.969,2888.95000,1.157,9.09000,135.32,2007,Canon 200mm f/1.8L,1540
HAT-P-20 b,9.718,2302.89900,0.867,7.24600,70.00,2010,Canon 200mm f/1.8L,970
HAT-P-21 b,11.478,1291.28900,1.024,4.06300,254.00,2010,Canon 200mm f/1.8L,1283
HAT-P-22 b,12.106,682.35200,1.080,2.14700,82.00,2010,Canon 200mm f/1.8L,1283
HAT-P-23 b,13.720,658.00000,1.224,2.07000,393.00,2010,Canon 200mm f/1.8L,1951
HAT-P-24 b,13.922,217.70400,1.242,0.68500,396.00,2010,Canon 200mm f/1.8L,1637
HAT-P-25 b,13.339,180.20200,1.190,0.56700,297.00,2010,Canon 200mm f/1.8L,1202
HAT-P-26 b,6.333,18.75100,0.565,0.05900,134.00,2010,Canon 200mm f/1.8L,1001
HAT-P-27 b,11.430,197.05000,1.020,0.62000,204.00,2011,Canon 200mm f/1.8L,
HAT-P-28 b,13.585,198.95300,1.212,0.62600,395.00,2011,Canon 200mm f/1.8L,1384
HAT-P-29 b,12.408,247.26100,1.107,0.77800,322.00,2011,Canon 200mm f/1.8L,1260
HAT-P-3 b,9.270,187.83000,0.827,0.59100,138.00,2007,Canon 200mm f/1.8L,
HAT-P-30 b,15.020,225.96800,1.340,0.71100,193.00,2011,Canon 200mm f/1.8L,1630
HAT-P-31 b,11.990,689.98000,1.070,2.17100,354.00,2011,Canon 200mm f/1.8L,1450
HAT-P-32 b,20.053,,1.789,,283.00,2011,Canon 200mm f/1.8L,
HAT-P-33 b,18.898,242.17600,1.686,0.76200,387.00,2011,Canon 200mm f/1.8L,1782
HAT-P-34 b,13.417,1057.69400,1.197,3.32800,257.00,2011,Canon 200mm f/1.8L,1520
HAT-P-35 b,14.930,334.97900,1.332,1.05400,535.00,2011,Canon 200mm f/1.8L,1581
HAT-P-36 b,14.168,582.24000,1.264,1.83200,317.00,2011,Canon 200mm f/1.8L,1823
HAT-P-37 b,13.204,371.52800,1.178,1.16900,411.00,2011,Canon 200mm f/1.8L,1271
HAT-P-38 b,9.247,84.85700,0.825,0.26700,249.00,2012,Canon 200mm f/1.8L,1082
HAT-P-39 b,17.609,190.37200,1.571,0.59900,642.00,2012,Canon 200mm f/1.8L,1752
HAT-P-4 b,14.280,213.25500,1.274,0.67100,314.00,2007,Canon 200mm f/1.8L,1686
HAT-P-40 b,19.392,195.45700,1.730,0.61500,501.00,2012,Canon 200mm f/1.8L,1770
HAT-P-41 b,18.887,254.25300,1.685,0.80000,344.00,2012,Canon 200mm f/1.8L,1941
HAT-P-42 b,14.348,331.80100,1.280,1.04400,447.00,2012,Canon 200mm f/1.8L,1428
HAT-P-43 b,14.359,210.39500,1.281,0.66200,542.00,2012,Canon 200mm f/1.8L,1361
