pl_name,pl_rade,pl_masse,pl_radj,pl_massj,st_dist,pl_disc,pl_telescope,pl_eqt
Kepler-108 c,8.180,,0.730,,,2014,0.95 m Kepler Telescope,
Kepler-109 b,2.370,1.30000,0.211,0.00400,,2014,0.95 m Kepler Telescope,
Kepler-109 c,2.520,2.22000,0.225,0.00700,,2014,0.95 m Kepler Telescope,
Kepler-11 b,1.800,1.90000,0.161,0.00600,613.00,2010,0.95 m Kepler Telescope,
Kepler-11 c,2.870,2.90000,0.256,0.00900,613.00,2010,0.95 m Kepler Telescope,
Kepler-11 d,3.120,7.30000,0.278,0.02300,613.00,2010,0.95 m Kepler Telescope,
Kepler-11 e,4.190,8.00000,0.374,0.02500,613.00,2010,0.95 m Kepler Telescope,
Kepler-11 f,2.490,2.00000,0.222,0.00600,613.00,2010,0.95 m Kepler Telescope,
Kepler-11 g,3.330,25.00000,0.297,0.07900,613.00,2010,0.95 m Kepler Telescope,
Kepler-110 b,1.830,,0.163,,,2014,0.95 m Kepler Telescope,
Kepler-110 c,2.210,,0.197,,,2014,0.95 m Kepler Telescope,
Kepler-111 b,1.580,,0.141,,,2014,0.95 m Kepler Telescope,
Kepler-111 c,7.300,,0.651,,,2014,0.95 m Kepler Telescope,
Kepler-112 b,2.360,,0.211,,,2014,0.95 m Kepler Telescope,
Kepler-112 c,2.400,,0.214,,,2014,0.95 m Kepler Telescope,
Kepler-113 b,1.820,11.70000,0.162,0.03700,,2014,0.95 m Kepler Telescope,
Kepler-113 c,2.180,8.70000,0.194,0.02700,,2014,0.95 m Kepler Telescope,
Kepler-114 b,1.260,,0.112,,,2014,0.95 m Kepler Telescope,
Kepler-114 c,1.600,2.80000,0.143,0.00900,,2013,0.95 m Kepler Telescope,
Kepler-114 d,2.530,3.90000,0.226,0.01200,,2013,0.95 m Kepler Telescope,
Kepler-115 b,1.090,,0.097,,,2014,0.95 m Kepler Telescope,
Kepler-115 c,2.600,,0.232,,,2014,0.95 m Kepler Telescope,
Kepler-116 b,3.420,,0.305,,,2014,0.95 m Kepler Telescope,
Kepler-116 c,2.300,,0.205,,,2014,0.95 m Kepler Telescope,
Kepler-117 b,8.059,29.87500,0.719,0.09400,1430.00,2014,0.95 m Kepler Telescope,984
Kepler-117 c,12.341,584.78000,1.101,1.84000,1430.00,2014,0.95 m Kepler Telescope,704
Kepler-118 b,1.960,,0.175,,,2014,0.95 m Kepler Telescope,
Kepler-118 c,7.680,,0.685,,,2014,0.95 m Kepler Telescope,
Kepler-119 b,3.600,,0.321,,,2014,0.95 m Kepler Telescope,
Kepler-119 c,0.920,,0.082,,,2014,0.95 m Kepler Telescope,
Kepler-12 b,19.661,137.30256,1.754,0.43200,600.00,2011,0.95 m Kepler Telescope,1480
Kepler-120 b,2.150,,0.192,,,2014,0.95 m Kepler Telescope,
Kepler-120 c,1.530,,0.136,,,2014,0.95 m Kepler Telescope,
Kepler-121 b,2.340,,0.209,,,2014,0.95 m Kepler Telescope,
Kepler-121 c,2.270,,0.203,,,2014,0.95 m Kepler Telescope,
Kepler-122 b,2.340,,0.209,,,2014,0.95 m Kepler Telescope,
Kepler-122 c,5.870,,0.524,,,2014,0.95 m Kepler Telescope,
Kepler-122 d,2.200,,0.196,,,2014,0.95 m Kepler Telescope,
Kepler-122 e,2.600,,0.232,,,2014,0.95 m Kepler Telescope,
Kepler-122 f,1.750,36.00000,0.156,0.11300,,2014,0.95 m Kepler Telescope,
Kepler-123 b,2.940,,0.262,,,2014,0.95 m Kepler Telescope,
Kepler-123 c,1.480,,0.132,,,2014,0.95 m Kepler Telescope,
Kepler-124 b,0.730,,0.065,,,2014,0.95 m Kepler Telescope,
Kepler-124 c,1.750,,0.156,,,2014,0.95 m Kepler Telescope,
Kepler-124 d,1.110,,0.099,,,2014,0.95 m Kepler Telescope,
Kepler-125 b,2.370,,0.211,,,2014,0.95 m Kepler Telescope,
Kepler-125 c,0.740,,0.066,,,2014,0.95 m Kepler Telescope,
Kepler-126 b,1.520,,0.136,,,2014,0.95 m Kepler Telescope,
Kepler-126 c,1.580,,0.141,,,2014,0.95 m Kepler Telescope,
Kepler-126 d,2.500,,0.223,,,2014,0.95 m Kepler Telescope,
Kepler-127 b,1.400,,0.125,,,2014,0.95 m Kepler Telescope,
Kepler-127 c,2.660,,0.237,,,2014,0.95 m Kepler Telescope,
Kepler-127 d,2.640,,0.236,,,2014,0.95 m Kepler Telescope,
Kepler-128 b,1.130,30.70000,0.101,0.09700,,2013,0.95 m Kepler Telescope,
Kepler-128 c,1.130,33.30000,0.101,0.10500,,2013,0.95 m Kepler Telescope,
Kepler-129 b,2.370,,0.211,,,2014,0.95 m Kepler Telescope,
Kepler-129 c,2.550,,0.227,,,2014,0.95 m Kepler Telescope,
Kepler-130 b,1.020,,0.091,,,2014,0.95 m Kepler Telescope,
Kepler-130 c,2.900,,0.259,,,2014,0.95 m Kepler Telescope,683
Kepler-130 d,1.640,,0.146,,,2014,0.95 m Kepler Telescope,
Kepler-131 b,2.410,16.13000,0.215,0.05100,,2014,0.95 m Kepler Telescope,
Kepler-131 c,0.840,8.25000,0.075,0.02600,,2014,0.95 m Kepler Telescope,
Kepler-132 b,1.210,,0.108,,,2014,0.95 m Kepler Telescope,
Kepler-132 c,1.280,,0.114,,,2014,0.95 m Kepler Telescope,
Kepler-132 d,1.550,,0.138,,,2014,0.95 m Kepler Telescope,
Kepler-133 b,1.760,,0.157,,,2014,0.95 m Kepler Telescope,
Kepler-133 c,2.840,,0.253,,,2014,0.95 m Kepler Telescope,
Kepler-134 b,2.000,,0.178,,,2014,0.95 m Kepler Telescope,
Kepler-134 c,1.260,,0.112,,,2014,0.95 m Kepler Telescope,
Kepler-135 b,1.810,,0.161,,,2014,0.95 m Kepler Telescope,
Kepler-135 c,1.160,,0.103,,,2014,0.95 m Kepler Telescope,
Kepler-136 b,2.050,,0.183,,,2014,0.95 m Kepler Telescope,
Kepler-136 c,1.990,,0.178,,,2014,0.95 m Kepler Telescope,
Kepler-137 b,1.470,,0.131,,,2014,0.95 m Kepler Telescope,
Kepler-137 c,1.880,,0.168,,,2014,0.95 m Kepler Telescope,
Kepler-138 b,0.522,0.06600,0.047,0.00021,,2014,0.95 m Kepler Telescope,
Kepler-138 c,1.197,1.97000,0.107,0.00620,,2014,0.95 m Kepler Telescope,
Kepler-138 d,1.212,0.64000,0.108,0.00201,,2014,0.95 m Kepler Telescope,
Kepler-139 b,2.940,,0.262,,,2014,0.95 m Kepler Telescope,
Kepler-139 c,3.380,,0.302,,,2014,0.95 m Kepler Telescope,
Kepler-14 b,12.733,2669.66000,1.136,8.40000,980.00,2011,0.95 m Kepler Telescope,
Kepler-140 b,1.610,,0.144,,,2014,0.95 m Kepler Telescope,
Kepler-140 c,1.800,,0.161,,,2014,0.95 m Kepler Telescope,
Kepler-141 b,0.690,,0.062,,,2014,0.95 m Kepler Telescope,
Kepler-141 c,1.410,,0.126,,,2014,0.95 m Kepler Telescope,
Kepler-142 b,1.990,,0.178,,,2014,0.95 m Kepler Telescope,
Kepler-142 c,2.860,,0.255,,,2014,0.95 m Kepler Telescope,
Kepler-142 d,2.160,,0.193,,,2014,0.95 m Kepler Telescope,
Kepler-143 b,2.410,,0.215,,,2014,0.95 m Kepler Telescope,
Kepler-143 c,3.370,,0.301,,,2014,0.95 m Kepler Telescope,
Kepler-144 b,1.330,,0.119,,,2014,0.95 m Kepler Telescope,
Kepler-144 c,1.350,,0.120,,,2014,0.95 m Kepler Telescope,
Kepler-145 b,2.650,37.10000,0.236,0.11700,,2013,0.95 m Kepler Telescope,
Kepler-145 c,4.320,79.40000,0.385,0.25000,,2013,0.95 m Kepler Telescope,
Kepler-146 b,3.710,,0.331,,,2014,0.95 m Kepler Telescope,
Kepler-146 c,3.130,,0.279,,,2014,0.95 m Kepler Telescope,
Kepler-147 b,1.530,,0.136,,,2014,0.95 m Kepler Telescope,
Kepler-147 c,2.430,,0.217,,,2014,0.95 m Kepler Telescope,
Kepler-148 b,1.800,,0.161,,,2014,0.95 m Kepler Telescope,
Kepler-148 c,3.600,,0.321,,,2014,0.95 m Kepler Telescope,
Kepler-149 b,4.210,,0.376,,,2014,0.95 m Kepler Telescope,
Kepler-149 c,1.610,,0.144,,,2014,0.95 m Kepler Telescope,
Kepler-149 d,3.960,,0.353,,,2014,0.95 m Kepler Telescope,
Kepler-15 b,10.760,209.76000,0.960,0.66000,,2011,0.95 m Kepler Telescope,
Kepler-150 b,1.250,,0.112,,,2014,0.95 m Kepler Telescope,
Kepler-150 c,3.690,,0.329,,,2014,0.95 m Kepler Telescope,
Kepler-150 d,2.790,,0.249,,,2014,0.95 m Kepler Telescope,
Kepler-150 e,3.120,,0.278,,,2014,0.95 m Kepler Telescope,
Kepler-151 b,3.060,,0.273,,,2014,0.95 m Kepler Telescope,
Kepler-151 c,2.090,,0.186,,,2014,0.95 m Kepler Telescope,
Kepler-152 b,2.790,,0.249,,,2014,0.95 m Kepler Telescope,
Kepler-152 c,2.390,,0.213,,,2014,0.95 m Kepler Telescope,
Kepler-153 b,2.920,,0.261,,,2014,0.95 m Kepler Telescope,
Kepler-153 c,2.530,,0.226,,,2014,0.95 m Kepler Telescope,
Kepler-154 b,2.260,,0.202,,,2014,0.95 m Kepler Telescope,
Kepler-154 c,2.950,,0.263,,,2014,0.95 m Kepler Telescope,
Kepler-155 b,2.090,,0.186,,,2014,0.95 m Kepler Telescope,
Kepler-155 c,2.240,,0.200,,,2014,0.95 m Kepler Telescope,
Kepler-156 b,2.300,,0.205,,,2014,0.95 m Kepler Telescope,
Kepler-156 c,2.550,,0.227,,,2014,0.95 m Kepler Telescope,
Kepler-157 b,1.320,,0.118,,,2014,0.95 m Kepler Telescope,
Kepler-157 c,2.240,,0.200,,,2014,0.95 m Kepler Telescope,
Kepler-158 b,2.120,,0.189,,,2014,0.95 m Kepler Telescope,
Kepler-158 c,1.900,,0.170,,,2014,0.95 m Kepler Telescope,
Kepler-159 b,2.380,,0.212,,,2014,0.95 m Kepler Telescope,
Kepler-159 c,3.410,,0.304,,,2014,0.95 m Kepler Telescope,
Kepler-16 b,8.449,105.83300,0.754,0.33300,61.00,2011,0.95 m Kepler Telescope,
Kepler-160 b,1.540,,0.137,,,2014,0.95 m Kepler Telescope,
Kepler-160 c,3.610,,0.322,,,2014,0.95 m Kepler Telescope,
Kepler-161 b,2.120,,0.189,,,2014,0.95 m Kepler Telescope,
Kepler-161 c,2.050,,0.183,,,2014,0.95 m Kepler Telescope,
Kepler-162 b,1.260,,0.112,,,2014,0.95 m Kepler Telescope,
Kepler-162 c,3.030,,0.270,,,2014,0.95 m Kepler Telescope,
Kepler-163 b,1.050,,0.094,,,2014,0.95 m Kepler Telescope,
Kepler-163 c,2.260,,0.202,,,2014,0.95 m Kepler Telescope,
Kepler-164 b,1.410,,0.126,,,2014,0.95 m Kepler Telescope,
Kepler-164 c,2.730,,0.244,,,2014,0.95 m Kepler Telescope,
Kepler-164 d,2.450,,0.219,,,2014,0.95 m Kepler Telescope,
Kepler-165 b,2.320,,0.207,,,2014,0.95 m Kepler Telescope,
Kepler-165 c,2.230,,0.199,,,2014,0.95 m Kepler Telescope,
Kepler-166 b,2.270,,0.203,,,2014,0.95 m Kepler Telescope,
Kepler-166 c,2.380,,0.212,,,2014,0.95 m Kepler Telescope,
Kepler-167 b,1.450,,0.129,,,2014,0.95 m Kepler Telescope,
Kepler-167 c,1.370,,0.122,,,2014,0.95 m Kepler Telescope,
Kepler-168 b,1.460,,0.130,,,2014,0.95 m Kepler Telescope,
Kepler-168 c,2.690,,0.240,,,2014,0.95 m Kepler Telescope,
Kepler-169 b,1.130,,0.101,,,2014,0.95 m Kepler Telescope,
Kepler-169 c,1.210,,0.108,,,2014,0.95 m Kepler Telescope,
Kepler-169 d,1.250,,0.112,,,2014,0.95 m Kepler Telescope,
Kepler-169 e,2.200,,0.196,,,2014,0.95 m Kepler Telescope,
Kepler-169 f,2.580,,0.230,,,2014,0.95 m Kepler Telescope,
Kepler-17 b,14.680,778.65000,1.310,2.45000,800.00,2011,0.95 m Kepler Telescope,1570
Kepler-170 b,3.200,,0.285,,,2014,0.95 m Kepler Telescope,
Kepler-170 c,2.860,,0.255,,,2014,0.95 m Kepler Telescope,
Kepler-171 b,2.340,,0.209,,,2014,0.95 m Kepler Telescope,
Kepler-171 c,2.560,,0.228,,,2014,0.95 m Kepler Telescope,
Kepler-171 d,1.890,,0.169,,,2014,0.95 m Kepler Telescope,
Kepler-172 b,2.350,,0.210,,,2014,0.95 m Kepler Telescope,
Kepler-172 c,2.860,,0.255,,,2014,0.95 m Kepler Telescope,
Kepler-172 d,2.250,,0.201,,,2014,0.95 m Kepler Telescope,
Kepler-172 e,2.760,,0.246,,,2014,0.95 m Kepler Telescope,
Kepler-173 b,1.290,,0.115,,,2014,0.95 m Kepler Telescope,
Kepler-173 c,2.430,,0.217,,,2014,0.95 m Kepler Telescope,
Kepler-174 b,1.960,,0.175,,,2014,0.95 m Kepler Telescope,
Kepler-174 c,1.490,,0.133,,,2014,0.95 m Kepler Telescope,
Kepler-174 d,2.190,,0.195,,,2014,0.95 m Kepler Telescope,
Kepler-175 b,2.560,,0.228,,,2014,0.95 m Kepler Telescope,
Kepler-175 c,3.100,,0.277,,,2014,0.95 m Kepler Telescope,
Kepler-176 b,1.430,,0.128,,,2014,0.95 m Kepler Telescope,
Kepler-176 c,2.600,,0.232,,,2014,0.95 m Kepler Telescope,
Kepler-176 d,2.510,,0.224,,,2014,0.95 m Kepler Telescope,
Kepler-177 b,2.900,2.00000,0.259,0.00600,,2013,0.95 m Kepler Telescope,
Kepler-177 c,7.100,7.50000,0.633,0.02400,,2013,0.95 m Kepler Telescope,
Kepler-178 b,2.900,,0.259,,,2014,0.95 m Kepler Telescope,
Kepler-178 c,2.880,,0.257,,,2014,0.95 m Kepler Telescope,
Kepler-178 d,3.950,,0.352,,,2014,0.95 m Kepler Telescope,
Kepler-179 b,1.640,,0.146,,,2014,0.95 m Kepler Telescope,
Kepler-179 c,2.000,,0.178,,,2014,0.95 m Kepler Telescope,
Kepler-18 b,2.000,6.90000,0.178,0.02200,,2011,0.95 m Kepler Telescope,
Kepler-18 c,5.490,17.30000,0.490,0.05400,,2011,0.95 m Kepler Telescope,
Kepler-18 d,6.980,16.40000,0.623,0.05200,,2011,0.95 m Kepler Telescope,
Kepler-180 b,1.500,,0.134,,,2014,0.95 m Kepler Telescope,
Kepler-180 c,3.010,,0.269,,,2014,0.95 m Kepler Telescope,
Kepler-181 b,1.270,,0.113,,,2014,0.95 m Kepler Telescope,
Kepler-181 c,1.990,,0.178,,,2014,0.95 m Kepler Telescope,
Kepler-182 b,2.580,,0.230,,,2014,0.95 m Kepler Telescope,
Kepler-182 c,3.430,,0.306,,,2014,0.95 m Kepler Telescope,
Kepler-183 b,2.060,,0.184,,,2014,0.95 m Kepler Telescope,
Kepler-183 c,2.270,,0.203,,,2014,0.95 m Kepler Telescope,
Kepler-184 b,2.360,,0.211,,,2014,0.95 m Kepler Telescope,
Kepler-184 c,1.970,,0.176,,,2014,0.95 m Kepler Telescope,
Kepler-184 d,2.490,,0.222,,,2014,0.95 m Kepler Telescope,
Kepler-185 b,1.170,,0.104,,,2014,0.95 m Kepler Telescope,
Kepler-185 c,2.020,,0.180,,,2014,0.95 m Kepler Telescope,
Kepler-186 b,1.070,,0.095,,172.00,2014,0.95 m Kepler Telescope,
Kepler-186 c,1.250,,0.112,,172.00,2014,0.95 m Kepler Telescope,
Kepler-186 d,1.400,,0.125,,172.00,2014,0.95 m Kepler Telescope,
Kepler-186 e,1.270,,0.113,,172.00,2014,0.95 m Kepler Telescope,
Kepler-186 f,1.170,,0.104,,172.00,2014,0.95 m Kepler Telescope,
Kepler-187 b,1.410,,0.126,,,2014,0.95 m Kepler Telescope,
Kepler-187 c,2.670,,0.238,,,2014,0.95 m Kepler Telescope,
Kepler-188 b,1.680,,0.150,,,2014,0.95 m Kepler Telescope,
Kepler-188 c,3.190,,0.285,,,2014,0.95 m Kepler Telescope,
Kepler-189 b,1.210,,0.108,,,2014,0.95 m Kepler Telescope,
Kepler-189 c,2.380,,0.212,,,2014,0.95 m Kepler Telescope,
Kepler-19 b,2.209,20.30000,0.197,0.06400,2119.00,2011,0.95 m Kepler Telescope,
Kepler-19 c,,1906.90000,,6.00000,2119.00,2011,0.95 m Kepler Telescope,
Kepler-190 b,1.560,,0.139,,,2014,0.95 m Kepler Telescope,
Kepler-190 c,1.460,,0.130,,,2014,0.95 m Kepler Telescope,
Kepler-191 b,1.340,,0.120,,,2014,0.95 m Kepler Telescope,
Kepler-191 c,1.860,,0.166,,,2014,0.95 m Kepler Telescope,
Kepler-192 b,2.740,,0.244,,,2014,0.95 m Kepler Telescope,
Kepler-192 c,2.790,,0.249,,,2014,0.95 m Kepler Telescope,
Kepler-193 b,2.390,,0.213,,,2014,0.95 m Kepler Telescope,
Kepler-193 c,2.750,,0.245,,,2014,0.95 m Kepler Telescope,
Kepler-194 b,1.510,,0.135,,,2014,0.95 m Kepler Telescope,
Kepler-194 c,2.590,,0.231,,,2014,0.95 m Kepler Telescope,
Kepler-194 d,2.400,,0.214,,,2014,0.95 m Kepler Telescope,
Kepler-195 b,2.030,,0.181,,,2014,0.95 m Kepler Telescope,
Kepler-195 c,1.550,,0.138,,,2014,0.95 m Kepler Telescope,
Kepler-196 b,1.900,,0.170,,,2014,0.95 m Kepler Telescope,
Kepler-196 c,2.240,,0.200,,,2014,0.95 m Kepler Telescope,
Kepler-197 b,1.020,,0.091,,,2014,0.95 m Kepler Telescope,
Kepler-197 c,1.230,,0.110,,,2014,0.95 m Kepler Telescope,
Kepler-197 d,1.220,,0.109,,,2014,0.95 m Kepler Telescope,
Kepler-197 e,0.910,,0.081,,,2014,0.95 m Kepler Telescope,
Kepler-198 b,2.820,,0.252,,,2014,0.95 m Kepler Telescope,
Kepler-198 c,2.470,,0.220,,,2014,0.95 m Kepler Telescope,
Kepler-199 b,3.110,,0.277,,,2014,0.95 m Kepler Telescope,
Kepler-199 c,3.250,,0.290,,,2014,0.95 m Kepler Telescope,
Kepler-20 b,1.910,8.70000,0.170,0.02700,290.00,2011,0.95 m Kepler Telescope,1014
Kepler-20 c,3.070,16.10000,0.274,0.05100,290.00,2011,0.95 m Kepler Telescope,713
Kepler-20 d,2.750,20.10000,0.245,0.06300,290.00,2011,0.95 m Kepler Telescope,369
Kepler-20 e,0.868,3.08000,0.077,0.01000,290.00,2011,0.95 m Kepler Telescope,1040
Kepler-20 f,1.030,14.30000,0.092,0.04500,290.00,2011,0.95 m Kepler Telescope,705
Kepler-200 b,2.130,,0.190,,,2014,0.95 m Kepler Telescope,
Kepler-200 c,1.590,,0.142,,,2014,0.95 m Kepler Telescope,
Kepler-201 b,2.460,,0.219,,,2014,0.95 m Kepler Telescope,
Kepler-201 c,2.850,,0.254,,,2014,0.95 m Kepler Telescope,
Kepler-202 b,1.630,,0.145,,,2014,0.95 m Kepler Telescope,
Kepler-202 c,1.850,,0.165,,,2014,0.95 m Kepler Telescope,
Kepler-203 b,2.570,,0.229,,,2014,0.95 m Kepler Telescope,
Kepler-203 c,2.470,,0.220,,,2014,0.95 m Kepler Telescope,
Kepler-203 d,1.440,,0.128,,,2014,0.95 m Kepler Telescope,
Kepler-204 b,2.530,,0.226,,,2014,0.95 m Kepler Telescope,
Kepler-204 c,1.790,,0.160,,,2014,0.95 m Kepler Telescope,
Kepler-205 b,1.510,,0.135,,,2014,0.95 m Kepler Telescope,
Kepler-205 c,1.640,,0.146,,,2014,0.95 m Kepler Telescope,
Kepler-206 b,1.200,,0.107,,,2014,0.95 m Kepler Telescope,
Kepler-206 c,1.770,,0.158,,,2014,0.95 m Kepler Telescope,
Kepler-206 d,1.190,,0.106,,,2014,0.95 m Kepler Telescope,
Kepler-207 b,1.570,,0.140,,,2014,0.95 m Kepler Telescope,
Kepler-207 c,1.500,,0.134,,,2014,0.95 m Kepler Telescope,
Kepler-207 d,3.310,,0.295,,,2014,0.95 m Kepler Telescope,
Kepler-208 b,1.630,,0.145,,,2014,0.95 m Kepler Telescope,
Kepler-208 c,1.390,,0.124,,,2014,0.95 m Kepler Telescope,
Kepler-208 d,1.200,,0.107,,,2014,0.95 m Kepler Telescope,
Kepler-208 e,1.480,,0.132,,,2014,0.95 m Kepler Telescope,
Kepler-209 b,2.260,,0.202,,,2014,0.95 m Kepler Telescope,
Kepler-209 c,3.100,,0.277,,,2014,0.95 m Kepler Telescope,
Kepler-21 b,1.635,10.40000,0.146,0.03300,108.00,2011,0.95 m Kepler Telescope,1956
Kepler-210 b,2.940,,0.262,,,2014,0.95 m Kepler Telescope,
Kepler-210 c,3.620,,0.323,,,2014,0.95 m Kepler Telescope,
Kepler-211 b,1.260,,0.112,,,2014,0.95 m Kepler Telescope,
Kepler-211 c,1.290,,0.115,,,2014,0.95 m Kepler Telescope,
Kepler-212 b,1.090,,0.097,,,2014,0.95 m Kepler Telescope,
Kepler-212 c,2.740,,0.244,,,2014,0.95 m Kepler Telescope,
Kepler-213 b,1.620,,0.145,,,2014,0.95 m Kepler Telescope,
Kepler-213 c,2.340,,0.209,,,2014,0.95 m Kepler Telescope,
Kepler-214 b,2.610,,0.233,,,2014,0.95 m Kepler Telescope,
Kepler-214 c,2.130,,0.190,,,2014,0.95 m Kepler Telescope,
Kepler-215 b,1.620,,0.145,,,2014,0.95 m Kepler Telescope,
Kepler-215 c,1.770,,0.158,,,2014,0.95 m Kepler Telescope,
Kepler-215 d,2.390,,0.213,,,2014,0.95 m Kepler Telescope,
Kepler-215 e,1.750,,0.156,,,2014,0.95 m Kepler Telescope,
Kepler-216 b,2.350,,0.210,,,2014,0.95 m Kepler Telescope,
Kepler-216 c,3.040,,0.271,,,2014,0.95 m Kepler Telescope,
Kepler-217 b,2.230,,0.199,,,2014,0.95 m Kepler Telescope,
Kepler-217 c,1.850,,0.165,,,2014,0.95 m Kepler Telescope,
Kepler-218 b,1.480,,0.132,,,2014,0.95 m Kepler Telescope,
Kepler-218 c,3.140,,0.280,,,2014,0.95 m Kepler Telescope,
Kepler-219 b,2.950,,0.263,,,2014,0.95 m Kepler Telescope,
Kepler-219 c,3.580,,0.319,,,2014,0.95 m Kepler Telescope,
Kepler-219 d,2.810,,0.251,,,2014,0.95 m Kepler Telescope,
Kepler-22 b,2.380,36.00000,0.212,0.11300,190.00,2011,0.95 m Kepler Telescope,262
Kepler-220 b,0.810,,0.072,,,2014,0.95 m Kepler Telescope,
Kepler-220 c,1.570,,0.140,,,2014,0.95 m Kepler Telescope,
Kepler-220 d,0.980,,0.087,,,2014,0.95 m Kepler Telescope,
Kepler-220 e,1.330,,0.119,,,2014,0.95 m Kepler Telescope,
Kepler-221 b,1.710,,0.153,,,2014,0.95 m Kepler Telescope,
Kepler-221 c,2.930,,0.261,,,2014,0.95 m Kepler Telescope,
Kepler-221 d,2.730,,0.244,,,2014,0.95 m Kepler Telescope,
Kepler-221 e,2.630,,0.235,,,2014,0.95 m Kepler Telescope,
Kepler-222 b,3.160,,0.282,,,2014,0.95 m Kepler Telescope,
Kepler-222 c,4.640,,0.414,,,2014,0.95 m Kepler Telescope,
Kepler-222 d,3.690,,0.329,,,2014,0.95 m Kepler Telescope,
Kepler-223 b,1.690,,0.151,,,2014,0.95 m Kepler Telescope,
Kepler-223 c,2.000,,0.178,,,2014,0.95 m Kepler Telescope,
Kepler-223 d,2.980,,0.266,,,2014,0.95 m Kepler Telescope,
Kepler-223 e,2.400,,0.214,,,2014,0.95 m Kepler Telescope,
Kepler-224 b,1.390,,0.124,,,2014,0.95 m Kepler Telescope,
Kepler-224 c,3.120,,0.278,,,2014,0.95 m Kepler Telescope,
Kepler-224 d,2.300,,0.205,,,2014,0.95 m Kepler Telescope,
Kepler-224 e,1.970,,0.176,,,2014,0.95 m Kepler Telescope,
Kepler-225 b,1.200,,0.107,,,2014,0.95 m Kepler Telescope,
Kepler-225 c,1.840,,0.164,,,2014,0.95 m Kepler Telescope,
Kepler-226 b,1.550,,0.138,,,2014,0.95 m Kepler Telescope,
Kepler-226 c,2.270,,0.203,,,2014,0.95 m Kepler Telescope,
Kepler-226 d,1.220,,0.109,,,2014,0.95 m Kepler Telescope,
Kepler-227 b,3.110,,0.277,,,2014,0.95 m Kepler Telescope,
Kepler-227 c,3.040,,0.271,,,2014,0.95 m Kepler Telescope,
Kepler-228 b,1.530,,0.136,,,2014,0.95 m Kepler Telescope,
Kepler-228 c,2.700,,0.241,,,2014,0.95 m Kepler Telescope,
Kepler-228 d,4.040,,0.360,,,2014,0.95 m Kepler Telescope,
Kepler-229 b,2.200,,0.196,,,2014,0.95 m Kepler Telescope,
Kepler-229 c,4.920,,0.439,,,2014,0.95 m Kepler Telescope,
Kepler-229 d,3.850,,0.343,,,2014,0.95 m Kepler Telescope,
Kepler-23 b,1.900,254.30000,0.170,0.80000,800.00,2011,0.95 m Kepler Telescope,
Kepler-23 c,3.200,858.10000,0.285,2.70000,800.00,2011,0.95 m Kepler Telescope,
Kepler-23 d,2.200,,0.196,,800.00,2014,0.95 m Kepler Telescope,
Kepler-230 b,4.260,,0.380,,,2014,0.95 m Kepler Telescope,
Kepler-230 c,2.040,,0.182,,,2014,0.95 m Kepler Telescope,
Kepler-231 b,1.730,,0.154,,,2014,0.95 m Kepler Telescope,
Kepler-231 c,1.930,,0.172,,,2014,0.95 m Kepler Telescope,
Kepler-232 b,3.080,,0.275,,,2014,0.95 m Kepler Telescope,
Kepler-232 c,3.830,,0.342,,,2014,0.95 m Kepler Telescope,
Kepler-233 b,2.430,,0.217,,,2014,0.95 m Kepler Telescope,
Kepler-233 c,2.710,,0.242,,,2014,0.95 m Kepler Telescope,
Kepler-234 b,3.700,,0.330,,,2014,0.95 m Kepler Telescope,
Kepler-234 c,3.510,,0.313,,,2014,0.95 m Kepler Telescope,
Kepler-235 b,2.230,,0.199,,,2014,0.95 m Kepler Telescope,
Kepler-235 c,1.280,,0.114,,,2014,0.95 m Kepler Telescope,
Kepler-235 d,2.050,,0.183,,,2014,0.95 m Kepler Telescope,
Kepler-235 e,2.220,,0.198,,,2014,0.95 m Kepler Telescope,
Kepler-236 b,1.570,,0.140,,,2014,0.95 m Kepler Telescope,
Kepler-236 c,2.000,,0.178,,,2014,0.95 m Kepler Telescope,
Kepler-237 b,1.410,,0.126,,,2014,0.95 m Kepler Telescope,
Kepler-237 c,2.080,,0.186,,,2014,0.95 m Kepler Telescope,
Kepler-238 b,1.730,,0.154,,,2014,0.95 m Kepler Telescope,
Kepler-238 c,2.390,,0.213,,,2014,0.95 m Kepler Telescope,
Kepler-238 d,3.070,,0.274,,,2014,0.95 m Kepler Telescope,
Kepler-238 e,5.600,169.70000,0.500,0.53400,,2013,0.95 m Kepler Telescope,
Kepler-238 f,2.000,13.50000,0.178,0.04200,,2013,0.95 m Kepler Telescope,
Kepler-239 b,2.330,,0.208,,,2014,0.95 m Kepler Telescope,
Kepler-239 c,2.510,,0.224,,,2014,0.95 m Kepler Telescope,
Kepler-24 b,2.400,508.50000,0.214,1.60000,1200.00,2011,0.95 m Kepler Telescope,
Kepler-24 c,2.800,508.50000,0.250,1.60000,1200.00,2011,0.95 m Kepler Telescope,
Kepler-24 d,1.670,,0.149,,1200.00,2014,0.95 m Kepler Telescope,
Kepler-24 e,2.780,,0.248,,1200.00,2014,0.95 m Kepler Telescope,
Kepler-240 b,1.370,,0.122,,,2014,0.95 m Kepler Telescope,
Kepler-240 c,2.200,,0.196,,,2014,0.95 m Kepler Telescope,
Kepler-241 b,2.330,,0.208,,,2014,0.95 m Kepler Telescope,
Kepler-241 c,2.570,,0.229,,,2014,0.95 m Kepler Telescope,
