pl_hostname,pl_name,pl_rade,pl_radj,pl_massj,pl_masse,pl_dens,pl_eqt,pl_telescope,pl_facility,pl_disc,pl_discmethod,pl_pnum,pl_orbper,st_dist,st_optmag,st_teff,st_mass,st_rad,hip_name,hd_name,st_age,ra,dec,pl_pelink,pl_edelink,rowupdate
HD 180902,HD 180902 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2009,Radial Velocity,1,479.00000000,114.55,7.778,5030.00,1.52,4.10,HIP 94951,HD 180902,2.800,289.823792,-23.558155,http://exoplanet.eu/catalog/hd_180902_b/,http://exoplanets.org/detail/HD_180902_b,2014-05-14
HD 181342,HD 181342 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2009,Radial Velocity,1,663.00000000,115.47,7.551,5014.00,1.84,4.60,HIP 95124,HD 181342,1.800,290.267639,-23.619572,http://exoplanet.eu/catalog/hd_181342_b/,http://exoplanets.org/detail/HD_181342_b,2014-05-14
HD 181433,HD 181433 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2008,Radial Velocity,3,9.37430000,26.15,8.400,4962.00,0.78,,HIP 95467,HD 181433,,291.289856,-66.468796,http://exoplanet.eu/catalog/hd_181433_b/,http://exoplanets.org/detail/HD_181433_b,2014-07-23
HD 181433,HD 181433 c,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2008,Radial Velocity,3,962.00000000,26.15,8.400,4962.00,0.78,,HIP 95467,HD 181433,,291.289856,-66.468796,http://exoplanet.eu/catalog/hd_181433_c/,http://exoplanets.org/detail/HD_181433_c,2014-07-23
HD 181433,HD 181433 d,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2008,Radial Velocity,3,2172.00000000,26.15,8.400,4962.00,0.78,,HIP 95467,HD 181433,,291.289856,-66.468796,http://exoplanet.eu/catalog/hd_181433_d/,http://exoplanets.org/detail/HD_181433_d,2014-07-23
HD 181720,HD 181720 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2009,Radial Velocity,1,956.00000000,55.93,7.849,5781.00,0.92,1.39,HIP 95262,HD 181720,,290.720764,-32.919056,http://exoplanet.eu/catalog/hd_181720_b/,http://exoplanets.org/detail/HD_181720_b,2014-07-23
HD 183263,HD 183263 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2004,Radial Velocity,2,626.50000000,52.83,7.861,5936.00,1.17,,HIP 95740,HD 183263,8.130,292.102386,8.358054,http://exoplanet.eu/catalog/hd_183263_b/,http://exoplanets.org/detail/HD_183263_b,2014-07-23
HD 183263,HD 183263 c,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2008,Radial Velocity,2,3070.00000000,52.83,7.861,5936.00,1.17,,HIP 95740,HD 183263,8.130,292.102386,8.358054,http://exoplanet.eu/catalog/hd_183263_c/,http://exoplanets.org/detail/HD_183263_c,2014-07-23
HD 185269,HD 185269 b,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2006,Radial Velocity,1,6.83800000,47.37,,5980.00,1.28,1.88,HIP 96507,HD 185269,4.200,294.298920,28.499865,http://exoplanet.eu/catalog/hd_185269_b/,http://exoplanets.org/detail/HD_185269_b,2014-07-23
HD 187085,HD 187085 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2006,Radial Velocity,1,986.00000000,44.98,7.214,6075.00,1.22,,HIP 97546,HD 187085,3.300,297.391541,-37.780552,http://exoplanet.eu/catalog/hd_187085_b/,http://exoplanets.org/detail/HD_187085_b,2014-07-23
HD 187123,HD 187123 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,1998,Radial Velocity,2,3.09658280,47.92,7.832,5830.00,1.00,,HIP 97336,HD 187123,,296.742126,34.419525,http://exoplanet.eu/catalog/hd_187123_b/,http://exoplanets.org/detail/HD_187123_b,2014-07-23
HD 187123,HD 187123 c,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2008,Radial Velocity,2,3810.00000000,47.92,7.832,5830.00,1.00,,HIP 97336,HD 187123,,296.742126,34.419525,http://exoplanet.eu/catalog/hd_187123_c/,http://exoplanets.org/detail/HD_187123_c,2014-07-23
HD 18742,HD 18742 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2011,Radial Velocity,1,772.00000000,127.88,7.814,,,,HIP 13993,HD 18742,,45.044407,-20.802603,http://exoplanet.eu/catalog/hd_18742_b/,http://exoplanets.org/detail/HD_18742_b,2014-05-14
HD 188015,HD 188015 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2004,Radial Velocity,1,461.20000000,52.63,8.234,5746.00,1.09,,HIP 97769,HD 188015,,298.018921,28.100376,http://exoplanet.eu/catalog/hd_188015_b/,http://exoplanets.org/detail/HD_188015_b,2014-07-23
HD 189733,HD 189733 b,12.902,1.151,1.15000,365.48900,1.00400,1191,1.93 m Telescope,Haute-Provence Observatory,2005,Radial Velocity,1,2.21857578,19.25,7.670,5050.00,0.84,0.75,HIP 98505,HD 189733,1.400,300.182129,22.710854,http://exoplanet.eu/catalog/hd_189733_b/,http://exoplanets.org/detail/HD_189733_b,2014-08-21
HD 190360,HD 190360 b,,,,,,,1.93 m Telescope,Haute-Provence Observatory,2003,Radial Velocity,2,2915.00000000,15.89,5.730,5590.00,0.96,1.13,HIP 98767,HD 190360,6.700,300.905853,29.896805,http://exoplanet.eu/catalog/hd_190360_b/,http://exoplanets.org/detail/HD_190360_b,2014-08-21
HD 190360,HD 190360 c,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2005,Radial Velocity,2,17.11100000,15.89,5.730,5590.00,0.96,1.13,HIP 98767,HD 190360,6.700,300.905853,29.896805,http://exoplanet.eu/catalog/hd_190360_c/,http://exoplanets.org/detail/HD_190360_c,2014-08-21
HD 190647,HD 190647 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2007,Radial Velocity,1,1038.10000000,54.23,7.775,5628.00,1.10,,HIP 99115,HD 190647,2.000,301.831970,-35.538631,http://exoplanet.eu/catalog/hd_190647_b/,http://exoplanets.org/detail/HD_190647_b,2014-05-14
HD 190984,HD 190984 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2009,Radial Velocity,1,4885.00000000,189.39,8.760,5988.00,0.91,1.53,HIP 99496,HD 190984,,302.877991,-64.620468,http://exoplanet.eu/catalog/hd_190984_b/,,2014-08-21
