pl_hostname,pl_name,pl_rade,pl_radj,pl_massj,pl_masse,pl_dens,pl_eqt,pl_telescope,pl_facility,pl_disc,pl_discmethod,pl_pnum,pl_orbper,st_dist,st_optmag,st_teff,st_mass,st_rad,hip_name,hd_name,st_age,ra,dec,pl_pelink,pl_edelink,rowupdate
HD 212301,HD 212301 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2005,Radial Velocity,1,2.24571500,52.72,7.764,6256.00,1.27,,HIP 110852,HD 212301,1.000,336.878845,-77.717926,http://exoplanet.eu/catalog/hd_212301_b/,http://exoplanets.org/detail/HD_212301_b,2014-05-14
HD 212771,HD 212771 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2009,Radial Velocity,1,373.30000000,121.80,7.595,5121.00,1.15,5.00,HIP 110813,HD 212771,6.000,336.762787,-17.263659,http://exoplanet.eu/catalog/hd_212771_b/,http://exoplanets.org/detail/HD_212771_b,2014-05-14
HD 213240,HD 213240 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2001,Radial Velocity,1,951.00000000,40.75,6.814,,,,HIP 111143,HD 213240,,337.751526,-49.433270,http://exoplanet.eu/catalog/hd_213240_b/,http://exoplanets.org/detail/HD_213240_b,2015-04-30
HD 215497,HD 215497 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2009,Radial Velocity,2,3.93404000,43.53,8.960,5113.00,0.87,,HIP 112441,HD 215497,7.000,341.653137,-56.599533,http://exoplanet.eu/catalog/hd_215497_b/,http://exoplanets.org/detail/HD_215497_b,2014-11-19
HD 215497,HD 215497 c,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2009,Radial Velocity,2,567.94000000,43.53,8.960,5113.00,0.87,,HIP 112441,HD 215497,7.000,341.653137,-56.599533,http://exoplanet.eu/catalog/hd_215497_c/,http://exoplanets.org/detail/HD_215497_c,2014-11-19
HD 216435,HD 216435 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2002,Radial Velocity,1,1311.00000000,33.29,6.030,5999.00,1.30,,HIP 113044,HD 216435,3.000,343.408051,-48.598286,http://exoplanet.eu/catalog/hd_216435_b/,http://exoplanets.org/detail/tau_Gru_b,2014-07-23
HD 216437,HD 216437 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2002,Radial Velocity,1,1256.00000000,26.52,6.050,,1.15,,HIP 113137,HD 216437,,343.664520,-70.073708,http://exoplanet.eu/catalog/hd_216437_b/,http://exoplanets.org/detail/HD_216437_b,2015-04-24
HD 216536,HD 216536 b,,,,,,,9.2 m Hobby-Eberly Telescope,McDonald Observatory,2015,Radial Velocity,1,148.60000000,,9.230,4639.00,1.36,12.50,,HD 216536,3.800,343.266598,44.477753,http://exoplanet.eu/catalog/hd_216536/,,2015-02-05
HD 216770,HD 216770 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2003,Radial Velocity,1,118.45000000,37.89,8.094,,0.90,,HIP 113238,HD 216770,3.100,343.973785,-26.658764,http://exoplanet.eu/catalog/hd_216770_b/,http://exoplanets.org/detail/HD_216770_b,2015-04-24
HD 217107,HD 217107 b,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,1998,Radial Velocity,2,7.12681600,19.72,6.160,5646.00,1.02,,HIP 113421,HD 217107,,344.564758,-2.395385,http://exoplanet.eu/catalog/hd_217107_b/,http://exoplanets.org/detail/HD_217107_b,2014-05-14
HD 217107,HD 217107 c,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2005,Radial Velocity,2,4270.00000000,19.72,6.160,5646.00,1.02,,HIP 113421,HD 217107,,344.564758,-2.395385,http://exoplanet.eu/catalog/hd_217107_c/,http://exoplanets.org/detail/HD_217107_c,2014-05-14
HD 217786,HD 217786 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2010,Radial Velocity,1,1319.00000000,54.92,7.779,,,,HIP 113834,HD 217786,,345.784180,-0.429622,http://exoplanet.eu/catalog/hd_217786_b/,http://exoplanets.org/detail/HD_217786_b,2014-05-14
HD 218566,HD 218566 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2010,Radial Velocity,1,225.70000000,29.94,8.630,4820.00,0.85,0.86,HIP 114322,HD 218566,8.500,347.294708,-2.260742,http://exoplanet.eu/catalog/hd_218566_b/,http://exoplanets.org/detail/HD_218566_b,2014-05-14
HD 219077,HD 219077 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2012,Radial Velocity,1,5501.00000000,29.20,6.120,5362.00,1.05,1.91,HIP 114699,HD 219077,8.900,348.527435,-62.700005,http://exoplanet.eu/catalog/hd_219077_b/,,2014-05-14
HD 219134,HD 219134 b,,,,,,,3.58 m Telescopio Nazionale Galileo,Roque de los Muchachos Observatory,2015,Radial Velocity,7,3.09310000,6.55,5.570,4913.00,0.79,0.77,HIP 114622,HD 219134,12.460,348.320740,57.168354,http://exoplanet.eu/catalog/hd_219134_b/,,2015-11-19
HD 219134,HD 219134 c,,,,,,,3.58 m Telescopio Nazionale Galileo,Roque de los Muchachos Observatory,2015,Radial Velocity,7,6.76350000,6.55,5.570,4913.00,0.79,0.77,HIP 114622,HD 219134,12.460,348.320740,57.168354,http://exoplanet.eu/catalog/hd_219134_c/,,2015-11-19
HD 219134,HD 219134 d,,,,,,,3.58 m Telescopio Nazionale Galileo,Roque de los Muchachos Observatory,2015,Radial Velocity,7,46.71000000,6.55,5.570,4913.00,0.79,0.77,HIP 114622,HD 219134,12.460,348.320740,57.168354,http://exoplanet.eu/catalog/hd_219134_d/,,2015-11-19
HD 219134,HD 219134 e,,,,,,,3.58 m Telescopio Nazionale Galileo,Roque de los Muchachos Observatory,2015,Radial Velocity,7,1190.00000000,6.55,5.570,4913.00,0.79,0.77,HIP 114622,HD 219134,12.460,348.320740,57.168354,http://exoplanet.eu/catalog/hd_219134_e/,,2015-08-06
HD 219134,HD 219134 f,,,,,,,Multiple Telescopes,Multiple Observatories,2015,Radial Velocity,7,22.80500000,6.55,5.570,4913.00,0.79,0.77,HIP 114622,HD 219134,12.460,348.320740,57.168354,,,2015-11-19
HD 219134,HD 219134 g,,,,,,,Multiple Telescopes,Multiple Observatories,2015,Radial Velocity,7,94.20000000,6.55,5.570,4913.00,0.79,0.77,HIP 114622,HD 219134,12.460,348.320740,57.168354,,,2015-11-19
HD 219134,HD 219134 h,,,,,,,Multiple Telescopes,Multiple Observatories,2015,Radial Velocity,7,2247.00000000,6.55,5.570,4913.00,0.79,0.77,HIP 114622,HD 219134,12.460,348.320740,57.168354,,,2015-11-19
HD 219415,HD 219415 b,,,,,,,9.2 m Hobby-Eberly Telescope,McDonald Observatory,2012,Radial Velocity,1,2093.30000000,,8.940,4820.00,1.00,2.90,,HD 219415,,348.724278,56.730328,http://exoplanet.eu/catalog/hd_219415_b/,,2015-09-18
HD 219828,HD 219828 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2007,Radial Velocity,1,3.83350000,81.10,8.008,,,,HIP 115100,HD 219828,,349.694733,18.645720,http://exoplanet.eu/catalog/hd_219828_b/,http://exoplanets.org/detail/HD_219828_b,2014-05-14
HD 220074,HD 220074 b,,,,,,,1.8 m Telescope,Bohyunsan Optical Astronomical Observatory,2012,Radial Velocity,1,672.10000000,289.02,6.400,3935.00,1.20,49.70,HIP 115218,HD 220074,4.500,350.059906,61.970127,http://exoplanet.eu/catalog/hd_220074_b/,http://exoplanets.org/detail/HD_220074_b,2014-05-14
HD 220689,HD 220689 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2012,Radial Velocity,1,2209.00000000,45.23,7.758,5921.00,1.04,1.07,HIP 115662,HD 220689,3.500,351.470795,-20.616030,http://exoplanet.eu/catalog/hd_220689_b/,,2014-05-14
HD 220773,HD 220773 b,,,,,,,9.2 m Hobby-Eberly Telescope,McDonald Observatory,2011,Radial Velocity,1,3724.70000000,48.43,7.096,,,,HIP 115697,HD 220773,,351.614349,8.643845,http://exoplanet.eu/catalog/hd_220773_b/,http://exoplanets.org/detail/HD_220773_b,2014-05-14
HD 221287,HD 221287 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2007,Radial Velocity,1,456.10000000,52.88,7.807,6304.00,1.25,,HIP 116084,HD 221287,1.300,352.834747,-58.209732,http://exoplanet.eu/catalog/hd_221287_b/,http://exoplanets.org/detail/HD_221287_b,2014-05-14
HD 222155,HD 222155 b,,,,,,,1.93 m Telescope,Haute-Provence Observatory,2011,Radial Velocity,1,3999.00000000,50.45,7.114,5765.00,1.13,1.67,HIP 116616,HD 222155,8.200,354.501282,48.996521,http://exoplanet.eu/catalog/hd_222155_b/,http://exoplanets.org/detail/HD_222155_b,2014-05-14
HD 222582,HD 222582 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,1999,Radial Velocity,1,572.38000000,41.95,7.680,5727.00,0.99,,HIP 116906,HD 222582,,355.464722,-5.985757,http://exoplanet.eu/catalog/hd_222582_b/,http://exoplanets.org/detail/HD_222582_b,2014-07-23
HD 224693,HD 224693 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2006,Radial Velocity,1,26.73000000,94.07,8.216,6037.00,1.33,1.70,HIP 118319,HD 224693,,359.974304,-22.428114,http://exoplanet.eu/catalog/hd_224693_b/,http://exoplanets.org/detail/HD_224693_b,2014-11-19
HD 22781,HD 22781 b,,,,,,,1.93 m Telescope,Haute-Provence Observatory,2011,Radial Velocity,1,528.07000000,31.79,8.766,,,,HIP 17187,HD 22781,,55.206356,31.826290,http://exoplanet.eu/catalog/hd_22781_b/,http://exoplanets.org/detail/HD_22781_b,2014-05-14
HD 23079,HD 23079 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2001,Radial Velocity,1,730.60000000,34.60,7.105,,,,HIP 17096,HD 23079,,54.929562,-52.915836,http://exoplanet.eu/catalog/hd_23079_b/,http://exoplanets.org/detail/HD_23079_b,2014-07-23
HD 23127,HD 23127 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2006,Radial Velocity,1,1214.00000000,89.13,8.550,,1.13,,HIP 17054,HD 23127,7.100,54.848495,-60.077843,http://exoplanet.eu/catalog/hd_23127_b/,http://exoplanets.org/detail/HD_23127_b,2014-11-19
HD 231701,HD 231701 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2007,Radial Velocity,1,141.60000000,108.46,8.970,6208.00,1.14,1.35,HIP 96078,HD 231701,4.900,293.017334,16.474291,http://exoplanet.eu/catalog/hd_231701_b/,http://exoplanets.org/detail/HD_231701_b,2014-11-19
HD 233604,HD 233604 b,,,,,,,9.2 m Hobby-Eberly Telescope,McDonald Observatory,2013,Radial Velocity,1,192.00000000,,10.406,4791.00,1.50,10.90,,HD 233604,2.400,137.453380,53.568230,http://exoplanet.eu/catalog/hd_233604_b/,,2014-05-14
HD 23596,HD 23596 b,,,,,,,1.93 m Telescope,Haute-Provence Observatory,2003,Radial Velocity,1,1561.00000000,51.97,7.244,,,,HIP 17747,HD 23596,,57.001556,40.530636,http://exoplanet.eu/catalog/hd_23596_b/,http://exoplanets.org/detail/HD_23596_b,2014-05-14
HD 240210,HD 240210 b,,,,,,,9.2 m Hobby-Eberly Telescope,McDonald Observatory,2009,Radial Velocity,1,501.75000000,,8.330,4297.00,0.82,,,HD 240210,,347.621792,57.029456,http://exoplanet.eu/catalog/hd_240210_b/,http://exoplanets.org/detail/HD_240210_b,2014-11-19
HD 240237,HD 240237 b,,,,,,,9.2 m Hobby-Eberly Telescope,McDonald Observatory,2011,Radial Velocity,1,745.70000000,307.69,8.190,4361.00,1.69,32.00,HIP 114840,HD 240237,,348.925934,58.043240,http://exoplanet.eu/catalog/hd_240237_b/,http://exoplanets.org/detail/HD_240237_b,2014-11-19
HD 24040,HD 24040 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2006,Radial Velocity,1,3668.00000000,46.51,7.493,5853.00,1.18,,HIP 17960,HD 24040,,57.595699,17.476366,http://exoplanet.eu/catalog/hd_24040_b/,http://exoplanets.org/detail/HD_24040_b,2014-05-14
HD 24064,HD 24064 b,,,,,,,1.8 m Telescope,Bohyunsan Optical Astronomical Observatory,2015,Radial Velocity,1,535.60000000,264.40,6.750,4052.50,1.00,38.00,HIP 18451,HD 24064,9.000,59.151241,74.080032,,,2015-10-15
HD 25171,HD 25171 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2010,Radial Velocity,1,1845.00000000,56.05,7.778,,,,HIP 18387,HD 25171,,58.956001,-65.186676,http://exoplanet.eu/catalog/hd_25171_b/,http://exoplanets.org/detail/HD_25171_b,2014-05-14
HD 2638,HD 2638 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2005,Radial Velocity,1,3.44420000,53.71,9.375,5192.00,0.93,,HIP 2350,HD 2638,3.000,7.499466,-5.764002,http://exoplanet.eu/catalog/hd_2638_b/,http://exoplanets.org/detail/HD_2638_b,2014-11-19
HD 27442,HD 27442 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2000,Radial Velocity,1,428.10000000,18.24,4.440,,,,HIP 19921,HD 27442,,64.120956,-59.302155,http://exoplanet.eu/catalog/hd_27442_b/,http://exoplanets.org/detail/epsilon_Ret_b,2014-07-23
HD 27631,HD 27631 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2012,Radial Velocity,1,2208.00000000,44.54,8.243,5737.00,0.94,1.00,HIP 20199,HD 27631,4.400,64.939461,-41.960266,http://exoplanet.eu/catalog/hd_27631_b/,,2014-05-14
HD 27894,HD 27894 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2005,Radial Velocity,1,17.99040000,42.37,9.349,4875.00,0.80,,HIP 20277,HD 27894,3.900,65.196030,-59.410835,http://exoplanet.eu/catalog/hd_27894_b/,http://exoplanets.org/detail/HD_27894_b,2015-04-16
HD 28185,HD 28185 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2001,Radial Velocity,1,385.90000000,39.56,7.810,,,,HIP 20723,HD 28185,,66.609673,-10.550821,http://exoplanet.eu/catalog/hd_28185_b/,http://exoplanets.org/detail/HD_28185_b,2014-05-14
HD 28254,HD 28254 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2010,Radial Velocity,1,1116.00000000,54.70,7.684,5664.00,1.06,1.48,HIP 20606,HD 28254,,66.211273,-50.622192,http://exoplanet.eu/catalog/hd_28254_b/,http://exoplanets.org/detail/HD_28254_b,2014-11-19
HD 285507,HD 285507 b,,,,,,,1.5 m Tillinghast Reflector Telescope,Fred Lawrence Whipple Observatory,2013,Radial Velocity,1,6.08810000,42.43,10.267,4503.00,0.73,0.66,HIP 19207,HD 285507,0.625,61.755104,15.335032,http://exoplanet.eu/catalog/hd_285507/,,2014-05-14
HD 285968,HD 285968 b,,,,,,450,3.6 m ESO Telescope,La Silla Observatory,2008,Radial Velocity,1,8.78360000,9.42,9.970,3679.00,0.45,0.45,HIP 21932,HD 285968,,70.732407,18.958172,http://exoplanet.eu/catalog/gj_176_b/,http://exoplanets.org/detail/GJ_176_b,2014-11-19
HD 28678,HD 28678 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2011,Radial Velocity,1,387.10000000,168.92,8.440,,,,HIP 21109,HD 28678,,67.856056,4.575287,http://exoplanet.eu/catalog/hd_28678_b/,http://exoplanets.org/detail/HD_28678_b,2014-05-14
HD 290327,HD 290327 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2009,Radial Velocity,1,2443.00000000,56.70,8.990,5552.00,0.90,1.00,HIP 25191,HD 290327,,80.839851,-2.277619,http://exoplanet.eu/catalog/hd_290327_b/,http://exoplanets.org/detail/HD_290327_b,2014-11-19
HD 2952,HD 2952 b,,,,,,,1.88 m Telescope,Okayama Astrophysical Observatory,2013,Radial Velocity,1,311.60000000,115.21,5.922,4844.00,2.54,12.02,HIP 2611,HD 2952,,8.293311,54.894985,http://exoplanet.eu/catalog/hd_2952_b/,http://exoplanets.org/detail/HD_2952_b,2014-05-14
HD 30177,HD 30177 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2002,Radial Velocity,1,2770.00000000,54.71,8.374,5588.00,1.01,,HIP 21850,HD 30177,,70.476555,-58.020756,http://exoplanet.eu/catalog/hd_30177_b/,http://exoplanets.org/detail/HD_30177_b,2014-07-23
HD 30562,HD 30562 b,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2009,Radial Velocity,1,1159.20000000,26.50,5.780,5994.00,1.23,1.53,HIP 22336,HD 30562,3.600,72.151604,-5.674045,http://exoplanet.eu/catalog/hd_30562_b/,http://exoplanets.org/detail/HD_30562_b,2014-05-14
HD 30669,HD 30669 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2014,Radial Velocity,1,1684.00000000,57.10,9.110,5400.00,0.92,0.91,HIP 22320,HD 30669,4.800,72.118690,-28.419298,,,2015-01-08
HD 30856,HD 30856 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2011,Radial Velocity,1,912.00000000,121.07,7.911,,,,HIP 22491,HD 30856,,72.574425,-24.368839,http://exoplanet.eu/catalog/hd_30856_b/,http://exoplanets.org/detail/HD_30856_b,2014-05-14
HD 31253,HD 31253 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2010,Radial Velocity,1,466.00000000,53.82,7.133,5960.00,1.23,1.71,HIP 22826,HD 31253,3.000,73.681892,12.352201,http://exoplanet.eu/catalog/hd_31253_b/,http://exoplanets.org/detail/HD_31253_b,2014-05-14
HD 32518,HD 32518 b,,,,,,,2.0 m Alfred Jensch Telescope,Thueringer Landessternwarte Tautenburg,2009,Radial Velocity,1,157.54000000,117.37,6.421,4580.00,1.13,10.22,HIP 24003,HD 32518,5.830,77.403000,69.639404,http://exoplanet.eu/catalog/hd_32518_b/,http://exoplanets.org/detail/HD_32518_b,2014-05-14
HD 330075,HD 330075 b,,,,,,990,3.6 m ESO Telescope,La Silla Observatory,2004,Radial Velocity,1,3.38773000,50.20,9.334,5017.00,0.70,,HIP 77517,HD 330075,6.200,237.407043,-49.963524,http://exoplanet.eu/catalog/hd_330075_b/,http://exoplanets.org/detail/HD_330075_b,2014-11-19
HD 33142,HD 33142 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2011,Radial Velocity,1,326.60000000,136.80,7.956,,,,HIP 23844,HD 33142,,76.898087,-13.986480,http://exoplanet.eu/catalog/hd_33142_b/,http://exoplanets.org/detail/HD_33142_b,2014-05-14
HD 33283,HD 33283 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2006,Radial Velocity,1,18.17900000,86.88,8.051,5995.00,1.24,1.20,HIP 23889,HD 33283,,77.004219,-26.797472,http://exoplanet.eu/catalog/hd_33283_b/,http://exoplanets.org/detail/HD_33283_b,2014-11-19
HD 33564,HD 33564 b,,,,,,,1.93 m Telescope,Haute-Provence Observatory,2005,Radial Velocity,1,388.00000000,20.98,5.080,,,,HIP 25110,HD 33564,,80.639717,79.231148,http://exoplanet.eu/catalog/hd_33564_b/,http://exoplanets.org/detail/HD_33564_b,2014-12-03
HD 34445,HD 34445 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2009,Radial Velocity,1,1049.00000000,45.01,7.328,5836.00,1.07,1.38,HIP 24681,HD 34445,8.500,79.420746,7.353343,http://exoplanet.eu/catalog/hd_34445_b/,http://exoplanets.org/detail/HD_34445_b,2014-05-14
HD 3651,HD 3651 b,,,,,,,Multiple Telescopes,Multiple Observatories,2003,Radial Velocity,1,62.21800000,11.11,5.860,,,,HIP 3093,HD 3651,,9.840858,21.250473,http://exoplanet.eu/catalog/hd_3651_b/,http://exoplanets.org/detail/HD_3651_b,2014-05-14
HD 37124,HD 37124 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2002,Radial Velocity,3,154.46000000,33.24,,,,,HIP 26381,HD 37124,,84.260361,20.730787,http://exoplanet.eu/catalog/hd_37124_b/,http://exoplanets.org/detail/HD_37124_b,2014-12-17
HD 37124,HD 37124 c,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2002,Radial Velocity,3,843.60000000,33.24,,,,,HIP 26381,HD 37124,,84.260361,20.730787,http://exoplanet.eu/catalog/hd_37124_c/,http://exoplanets.org/detail/HD_37124_c,2014-12-17
HD 37124,HD 37124 d,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2005,Radial Velocity,3,2295.00000000,33.24,,,,,HIP 26381,HD 37124,,84.260361,20.730787,http://exoplanet.eu/catalog/hd_37124_d/,http://exoplanets.org/detail/HD_37124_d,2014-12-17
HD 37605,HD 37605 b,,,,,,,9.2 m Hobby-Eberly Telescope,McDonald Observatory,2004,Radial Velocity,2,55.01307000,42.88,8.661,5448.00,1.00,0.90,HIP 26664,HD 37605,7.000,85.007210,6.060579,http://exoplanet.eu/catalog/hd_37605_b/,http://exoplanets.org/detail/HD_37605_b,2015-02-05
HD 37605,HD 37605 c,,,,,,,Multiple Telescopes,Multiple Observatories,2012,Radial Velocity,2,2720.00000000,42.88,8.661,5448.00,1.00,0.90,HIP 26664,HD 37605,7.000,85.007210,6.060579,http://exoplanet.eu/catalog/hd_37605_c/,http://exoplanets.org/detail/HD_37605_c,2014-05-14
HD 38283,HD 38283 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2010,Radial Velocity,1,363.20000000,37.78,6.696,5998.00,1.08,,HIP 26380,HD 38283,6.200,84.258408,-73.699341,http://exoplanet.eu/catalog/hd_38283_b/,http://exoplanets.org/detail/HD_38283_b,2015-09-10
HD 38529,HD 38529 b,,,,,,,Multiple Telescopes,Multiple Observatories,2000,Radial Velocity,2,14.30980000,42.43,5.950,,,,HIP 27253,HD 38529,,86.645470,1.168193,http://exoplanet.eu/catalog/hd_38529_b/,http://exoplanets.org/detail/HD_38529_b,2014-05-14
HD 38529,HD 38529 c,,,,,,,Multiple Telescopes,Multiple Observatories,2000,Radial Velocity,2,2140.20000000,42.43,5.950,,,,HIP 27253,HD 38529,,86.645470,1.168193,http://exoplanet.eu/catalog/hd_38529_c/,http://exoplanets.org/detail/HD_38529_c,2014-05-14
HD 38801,HD 38801 b,,,,,,,8.2 m Subaru Telescope,Subaru Telescope,2009,Radial Velocity,1,696.30000000,99.40,8.269,5222.00,1.36,2.53,HIP 27384,HD 38801,4.670,86.996567,-8.327700,http://exoplanet.eu/catalog/hd_38801_b/,http://exoplanets.org/detail/HD_38801_b,2014-05-14
HD 39091,HD 39091 b,,,,,,,3.9 m Anglo-Australian Telescope,Anglo-Australian Telescope,2001,Radial Velocity,1,2151.00000000,18.21,5.650,,,,HIP 26394,HD 39091,,84.291214,-80.469124,http://exoplanet.eu/catalog/hd_39091_b/,http://exoplanets.org/detail/HD_39091_b,2014-07-23
HD 40307,HD 40307 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2009,Radial Velocity,5,4.31230000,12.83,7.170,4956.00,0.77,,HIP 27887,HD 40307,4.500,88.517670,-60.023472,http://exoplanet.eu/catalog/hd_40307_b/,http://exoplanets.org/detail/HD_40307_b,2014-05-14
HD 40307,HD 40307 c,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2009,Radial Velocity,5,9.61840000,12.83,7.170,4956.00,0.77,,HIP 27887,HD 40307,4.500,88.517670,-60.023472,http://exoplanet.eu/catalog/hd_40307_c/,http://exoplanets.org/detail/HD_40307_c,2014-05-14
HD 40307,HD 40307 d,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2009,Radial Velocity,5,20.43200000,12.83,7.170,4956.00,0.77,,HIP 27887,HD 40307,4.500,88.517670,-60.023472,http://exoplanet.eu/catalog/hd_40307_d/,http://exoplanets.org/detail/HD_40307_d,2014-05-14
HD 40307,HD 40307 f,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2013,Radial Velocity,5,51.76000000,12.83,7.170,4956.00,0.77,,HIP 27887,HD 40307,4.500,88.517670,-60.023472,http://exoplanet.eu/catalog/hd_40307_f/,,2014-05-14
HD 40307,HD 40307 g,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2013,Radial Velocity,5,197.80000000,12.83,7.170,4956.00,0.77,,HIP 27887,HD 40307,4.500,88.517670,-60.023472,http://exoplanet.eu/catalog/hd_40307_g/,,2014-05-14
HD 40979,HD 40979 b,,,,,,,Multiple Telescopes,Multiple Observatories,2002,Radial Velocity,1,264.15000000,33.33,6.735,,,,HIP 28767,HD 40979,,91.124763,44.260445,http://exoplanet.eu/catalog/hd_40979_b/,http://exoplanets.org/detail/HD_40979_b,2014-05-14
HD 41004 A,HD 41004 A b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2004,Radial Velocity,1,963.00000000,43.03,8.650,5010.00,0.70,,HIP 28393 A,HD 41004 A,1.600,89.956871,-48.239693,http://exoplanet.eu/catalog/hd_41004_a_b/,,2014-12-03
HD 41004 B,HD 41004 B b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2003,Radial Velocity,1,1.32830000,43.03,,,0.40,,HIP 28393 B,HD 41004 B,,89.956886,-48.239841,http://exoplanet.eu/catalog/hd_41004_b_b/,,2014-12-03
HD 4113,HD 4113 b,,,,,,,1.2 m Leonhard Euler Telescope,La Silla Observatory,2007,Radial Velocity,1,526.62000000,44.05,7.881,5688.00,0.99,,HIP 3391,HD 4113,6.400,10.802486,-37.982632,http://exoplanet.eu/catalog/hd_4113_b/,http://exoplanets.org/detail/HD_4113_b,2014-12-03
HD 4203,HD 4203 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2001,Radial Velocity,2,437.05000000,77.82,8.687,5702.00,1.13,,HIP 3502,HD 4203,,11.171676,20.448927,http://exoplanet.eu/catalog/hd_4203_b/,http://exoplanets.org/detail/HD_4203_b,2014-05-14
HD 4203,HD 4203 c,,,,,,,8.19 m Gemini North Telescope,Gemini Observatory,2014,Radial Velocity,2,6700.00000000,77.82,8.687,5702.00,1.13,,HIP 3502,HD 4203,,11.171676,20.448927,http://exoplanet.eu/catalog/hd_4203_c/,,2014-05-14
HD 4208,HD 4208 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2001,Radial Velocity,1,828.00000000,32.70,7.783,,,,HIP 3479,HD 4208,,11.111043,-26.515680,http://exoplanet.eu/catalog/hd_4208_b/,http://exoplanets.org/detail/HD_4208_b,2014-07-23
HD 4308,HD 4308 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2005,Radial Velocity,1,15.56000000,21.85,6.560,5685.00,0.83,,HIP 3497,HD 4308,4.300,11.163615,-65.649521,http://exoplanet.eu/catalog/hd_4308_b/,http://exoplanets.org/detail/HD_4308_b,2014-12-03
HD 4313,HD 4313 b,,,,,,,10 m Keck I Telescope,W. M. Keck Observatory,2009,Radial Velocity,1,356.00000000,131.41,7.822,5035.00,1.72,4.90,HIP 3574,HD 4313,2.000,11.418160,7.845021,http://exoplanet.eu/catalog/hd_4313_b/,http://exoplanets.org/detail/HD_4313_b,2014-05-14
HD 43197,HD 43197 b,,,,,,,3.6 m ESO Telescope,La Silla Observatory,2010,Radial Velocity,1,327.80000000,56.30,8.980,5508.00,0.96,1.00,HIP 29550,HD 43197,,93.398590,-29.897270,http://exoplanet.eu/catalog/hd_43197_b/,http://exoplanets.org/detail/HD_43197_b,2014-12-03
HD 43691,HD 43691 b,,,,,,,1.93 m Telescope,Haute-Provence Observatory,2007,Radial Velocity,1,36.96000000,93.20,8.030,6200.00,1.38,,HIP 30057,HD 43691,2.800,94.894485,41.092304,http://exoplanet.eu/catalog/hd_43691_b/,http://exoplanets.org/detail/HD_43691_b,2015-01-22
