dec,hd_name,hip_name,pl_astflag,pl_cbflag,pl_dens,pl_disc,pl_discmethod,pl_eqt,pl_facility,pl_hostname,pl_imgflag,pl_masse,pl_massj,pl_name,pl_omflag,pl_orbeccen,pl_orbper,pl_pnum,pl_rade,pl_radj,pl_ratdor,pl_rvflag,pl_telescope,pl_tranflag,ra,rowupdate,st_age,st_dist,st_mass,st_optmag,st_rad,st_teff,pl_pelink,pl_edelink
39.677995,,,0,0,,2014,Transit,,Kepler,Kepler-121,0,,,Kepler-121 c,0,,41.00801100,2,2.270,0.203,,0,0.95 m Kepler Telescope,1,286.162064,2014-05-14,,,,14.708,0.70,5311.00,http://exoplanet.eu/catalog/kepler-121_c/,http://exoplanets.org/detail/Kepler-121_c
39.949104,,,0,0,,2014,Transit,,Kepler,Kepler-122,0,,,Kepler-122 b,0,,5.76619300,5,2.340,0.209,,0,0.95 m Kepler Telescope,1,291.111883,2014-05-14,,,0.99,14.247,1.22,6050.00,http://exoplanet.eu/catalog/kepler-122_b/,http://exoplanets.org/detail/Kepler-122_b
39.949104,,,0,0,,2014,Transit,,Kepler,Kepler-122,0,,,Kepler-122 c,0,,12.46598800,5,5.870,0.524,,0,0.95 m Kepler Telescope,1,291.111883,2014-05-14,,,0.99,14.247,1.22,6050.00,http://exoplanet.eu/catalog/kepler-122_c/,http://exoplanets.org/detail/Kepler-122_c
39.949104,,,0,0,,2014,Transit,,Kepler,Kepler-122,0,,,Kepler-122 d,0,,21.58747500,5,2.200,0.196,,0,0.95 m Kepler Telescope,1,291.111883,2014-05-14,,,0.99,14.247,1.22,6050.00,http://exoplanet.eu/catalog/kepler-122_d/,http://exoplanets.org/detail/Kepler-122_d
39.949104,,,0,0,,2014,Transit,,Kepler,Kepler-122,0,,,Kepler-122 e,0,,37.99327300,5,2.600,0.232,,0,0.95 m Kepler Telescope,1,291.111883,2014-05-14,,,0.99,14.247,1.22,6050.00,http://exoplanet.eu/catalog/kepler-122_e/,http://exoplanets.org/detail/Kepler-122_e
39.949104,,,0,0,,2014,Transit Timing Variations,,Kepler,Kepler-122,0,36.00000,0.11300,Kepler-122 f,0,,56.26800000,5,1.750,0.156,,0,0.95 m Kepler Telescope,1,291.111883,2014-05-28,,,0.99,14.247,1.22,6050.00,,
42.781956,,,0,0,,2014,Transit,,Kepler,Kepler-123,0,,,Kepler-123 b,0,,17.23236600,2,2.940,0.262,,0,0.95 m Kepler Telescope,1,296.998621,2014-05-14,,,1.03,14.061,1.26,6089.00,http://exoplanet.eu/catalog/kepler-123_b/,http://exoplanets.org/detail/Kepler-123_b
42.781956,,,0,0,,2014,Transit,,Kepler,Kepler-123,0,,,Kepler-123 c,0,,26.69507400,2,1.480,0.132,,0,0.95 m Kepler Telescope,1,296.998621,2014-05-14,,,1.03,14.061,1.26,6089.00,http://exoplanet.eu/catalog/kepler-123_c/,http://exoplanets.org/detail/Kepler-123_c
49.064911,,,0,0,,2014,Transit,,Kepler,Kepler-124,0,,,Kepler-124 b,0,,3.41049300,3,0.730,0.065,,0,0.95 m Kepler Telescope,1,286.752797,2014-05-14,,,,14.139,0.64,4984.00,http://exoplanet.eu/catalog/kepler-124_b/,http://exoplanets.org/detail/Kepler-124_b
49.064911,,,0,0,,2014,Transit,,Kepler,Kepler-124,0,,,Kepler-124 c,0,,13.82137500,3,1.750,0.156,,0,0.95 m Kepler Telescope,1,286.752797,2014-05-14,,,,14.139,0.64,4984.00,http://exoplanet.eu/catalog/kepler-124_c/,http://exoplanets.org/detail/Kepler-124_c
49.064911,,,0,0,,2014,Transit,,Kepler,Kepler-124,0,,,Kepler-124 d,0,,30.95085100,3,1.110,0.099,,0,0.95 m Kepler Telescope,1,286.752797,2014-05-14,,,,14.139,0.64,4984.00,http://exoplanet.eu/catalog/kepler-124_d/,http://exoplanets.org/detail/Kepler-124_d
47.604946,,,0,0,,2014,Transit,,Kepler,Kepler-125,0,,,Kepler-125 b,0,,4.16438900,2,2.370,0.211,,0,0.95 m Kepler Telescope,1,298.258123,2014-05-14,,,0.55,14.752,0.51,3810.00,http://exoplanet.eu/catalog/kepler-125_b/,http://exoplanets.org/detail/Kepler-125_b
47.604946,,,0,0,,2014,Transit,,Kepler,Kepler-125,0,,,Kepler-125 c,0,,5.77446400,2,0.740,0.066,,0,0.95 m Kepler Telescope,1,298.258123,2014-05-14,,,0.55,14.752,0.51,3810.00,http://exoplanet.eu/catalog/kepler-125_c/,http://exoplanets.org/detail/Kepler-125_c
44.208553,,,0,0,,2014,Transit,,Kepler,Kepler-126,0,,,Kepler-126 b,0,,10.49571100,3,1.520,0.136,,0,0.95 m Kepler Telescope,1,289.347291,2014-05-14,,,,10.500,1.36,6239.00,http://exoplanet.eu/catalog/kepler-126_b/,http://exoplanets.org/detail/Kepler-126_b
44.208553,,,0,0,,2014,Transit,,Kepler,Kepler-126,0,,,Kepler-126 c,0,,21.86974100,3,1.580,0.141,,0,0.95 m Kepler Telescope,1,289.347291,2014-05-14,,,,10.500,1.36,6239.00,http://exoplanet.eu/catalog/kepler-126_c/,http://exoplanets.org/detail/Kepler-126_c
44.208553,,,0,0,,2014,Transit,,Kepler,Kepler-126,0,,,Kepler-126 d,0,,100.28313400,3,2.500,0.223,,0,0.95 m Kepler Telescope,1,289.347291,2014-05-14,,,,10.500,1.36,6239.00,http://exoplanet.eu/catalog/kepler-126_d/,http://exoplanets.org/detail/Kepler-126_d
46.027962,,,0,0,,2014,Transit,,Kepler,Kepler-127,0,,,Kepler-127 b,0,,14.43588900,3,1.400,0.125,,0,0.95 m Kepler Telescope,1,285.189985,2014-05-14,,,,11.485,1.36,6106.00,http://exoplanet.eu/catalog/kepler-127_b/,http://exoplanets.org/detail/Kepler-127_b
46.027962,,,0,0,,2014,Transit,,Kepler,Kepler-127,0,,,Kepler-127 c,0,,29.39319500,3,2.660,0.237,,0,0.95 m Kepler Telescope,1,285.189985,2014-05-14,,,,11.485,1.36,6106.00,http://exoplanet.eu/catalog/kepler-127_c/,http://exoplanets.org/detail/Kepler-127_c
46.027962,,,0,0,,2014,Transit,,Kepler,Kepler-127,0,,,Kepler-127 d,0,,48.63040800,3,2.640,0.236,,0,0.95 m Kepler Telescope,1,285.189985,2014-05-14,,,,11.485,1.36,6106.00,http://exoplanet.eu/catalog/kepler-127_d/,http://exoplanets.org/detail/Kepler-127_d
43.980213,,,0,0,,2013,Transit,,Kepler,Kepler-128,0,30.70000,0.09700,Kepler-128 b,0,,15.09000000,2,1.130,0.101,,0,0.95 m Kepler Telescope,1,282.492224,2014-05-14,,,1.18,11.390,1.66,6090.00,http://exoplanet.eu/catalog/kepler-128_b/,
43.980213,,,0,0,,2013,Transit,,Kepler,Kepler-128,0,33.30000,0.10500,Kepler-128 c,0,,22.80400000,2,1.130,0.101,,0,0.95 m Kepler Telescope,1,282.492224,2014-05-14,,,1.18,11.390,1.66,6090.00,http://exoplanet.eu/catalog/kepler-128_c/,
47.848595,,,0,0,,2014,Transit,,Kepler,Kepler-129,0,,,Kepler-129 b,0,,15.79186000,2,2.370,0.211,,0,0.95 m Kepler Telescope,1,285.311284,2014-05-14,,,1.18,11.696,1.64,5770.00,http://exoplanet.eu/catalog/kepler-129_b/,http://exoplanets.org/detail/Kepler-129_b
47.848595,,,0,0,,2014,Transit,,Kepler,Kepler-129,0,,,Kepler-129 c,0,,82.20017000,2,2.550,0.227,,0,0.95 m Kepler Telescope,1,285.311284,2014-05-14,,,1.18,11.696,1.64,5770.00,http://exoplanet.eu/catalog/kepler-129_c/,http://exoplanets.org/detail/Kepler-129_c
40.245305,,,0,0,,2014,Transit,,Kepler,Kepler-130,0,,,Kepler-130 b,0,,8.45745800,3,1.020,0.091,,0,0.95 m Kepler Telescope,1,288.450665,2014-05-14,,,1.00,11.529,1.13,5884.00,http://exoplanet.eu/catalog/kepler-130_b/,http://exoplanets.org/detail/Kepler-130_b
40.245305,,,0,0,,2014,Transit,683,Kepler,Kepler-130,0,,,Kepler-130 c,0,0.000000,27.50868000,3,2.900,0.259,32.600000,0,0.95 m Kepler Telescope,1,288.450665,2014-05-14,,,1.00,11.529,1.13,5884.00,,
40.245305,,,0,0,,2014,Transit,,Kepler,Kepler-130,0,,,Kepler-130 d,0,,87.51790500,3,1.640,0.146,,0,0.95 m Kepler Telescope,1,288.450665,2014-05-14,,,1.00,11.529,1.13,5884.00,http://exoplanet.eu/catalog/kepler-130_d/,http://exoplanets.org/detail/Kepler-130_d
40.942304,,,0,0,6.00000,2014,Transit,,Kepler,Kepler-131,0,16.13000,0.05100,Kepler-131 b,0,,16.09200000,2,2.410,0.215,,1,0.95 m Kepler Telescope,1,288.530825,2014-05-14,3.660,,1.02,11.525,1.03,5685.00,,
40.942304,,,0,0,77.70000,2014,Transit,,Kepler,Kepler-131,0,8.25000,0.02600,Kepler-131 c,0,,25.51690000,2,0.840,0.075,,1,0.95 m Kepler Telescope,1,288.530825,2014-05-14,3.660,,1.02,11.525,1.03,5685.00,,
41.343037,,,0,0,,2014,Transit,,Kepler,Kepler-132,0,,,Kepler-132 b,0,,6.17819600,3,1.210,0.108,,0,0.95 m Kepler Telescope,1,283.235810,2014-05-14,,,,11.818,1.18,6003.00,http://exoplanet.eu/catalog/kepler-132_b/,http://exoplanets.org/detail/Kepler-132_b
41.343037,,,0,0,,2014,Transit,,Kepler,Kepler-132,0,,,Kepler-132 c,0,,6.41491400,3,1.280,0.114,,0,0.95 m Kepler Telescope,1,283.235810,2014-05-14,,,,11.818,1.18,6003.00,http://exoplanet.eu/catalog/kepler-132_c/,http://exoplanets.org/detail/Kepler-132_c
41.343037,,,0,0,,2014,Transit,,Kepler,Kepler-132,0,,,Kepler-132 d,0,,18.01019900,3,1.550,0.138,,0,0.95 m Kepler Telescope,1,283.235810,2014-05-14,,,,11.818,1.18,6003.00,http://exoplanet.eu/catalog/kepler-132_d/,http://exoplanets.org/detail/Kepler-132_d
48.320328,,,0,0,,2014,Transit,,Kepler,Kepler-133,0,,,Kepler-133 b,0,,8.12997600,2,1.760,0.157,,0,0.95 m Kepler Telescope,1,297.277976,2014-05-14,,,,12.848,1.43,5736.00,http://exoplanet.eu/catalog/kepler-133_b/,http://exoplanets.org/detail/Kepler-133_b
48.320328,,,0,0,,2014,Transit,,Kepler,Kepler-133,0,,,Kepler-133 c,0,,31.51758600,2,2.840,0.253,,0,0.95 m Kepler Telescope,1,297.277976,2014-05-14,,,,12.848,1.43,5736.00,http://exoplanet.eu/catalog/kepler-133_c/,http://exoplanets.org/detail/Kepler-133_c
49.598396,,,0,0,,2014,Transit,,Kepler,Kepler-134,0,,,Kepler-134 b,0,,5.31742900,2,2.000,0.178,,0,0.95 m Kepler Telescope,1,284.739001,2014-05-14,,,,12.324,1.18,5983.00,http://exoplanet.eu/catalog/kepler-134_b/,http://exoplanets.org/detail/Kepler-134_b
49.598396,,,0,0,,2014,Transit,,Kepler,Kepler-134,0,,,Kepler-134 c,0,,10.10578500,2,1.260,0.112,,0,0.95 m Kepler Telescope,1,284.739001,2014-05-14,,,,12.324,1.18,5983.00,http://exoplanet.eu/catalog/kepler-134_c/,http://exoplanets.org/detail/Kepler-134_c
38.795481,,,0,0,,2014,Transit,,Kepler,Kepler-135,0,,,Kepler-135 b,0,,6.00253000,2,1.810,0.161,,0,0.95 m Kepler Telescope,1,290.495129,2014-05-14,,,,12.730,1.27,6090.00,http://exoplanet.eu/catalog/kepler-135_b/,http://exoplanets.org/detail/Kepler-135_b
38.795481,,,0,0,,2014,Transit,,Kepler,Kepler-135,0,,,Kepler-135 c,0,,11.44870800,2,1.160,0.103,,0,0.95 m Kepler Telescope,1,290.495129,2014-05-14,,,,12.730,1.27,6090.00,http://exoplanet.eu/catalog/kepler-135_c/,http://exoplanets.org/detail/Kepler-135_c
42.598771,,,0,0,,2014,Transit,,Kepler,Kepler-136,0,,,Kepler-136 b,0,,11.57890000,2,2.050,0.183,,0,0.95 m Kepler Telescope,1,296.467314,2014-05-14,,,1.20,12.459,1.35,6165.00,http://exoplanet.eu/catalog/kepler-136_b/,http://exoplanets.org/detail/Kepler-136_b
42.598771,,,0,0,,2014,Transit,,Kepler,Kepler-136,0,,,Kepler-136 c,0,,16.39923500,2,1.990,0.178,,0,0.95 m Kepler Telescope,1,296.467314,2014-05-14,,,1.20,12.459,1.35,6165.00,http://exoplanet.eu/catalog/kepler-136_c/,http://exoplanets.org/detail/Kepler-136_c
43.039101,,,0,0,,2014,Transit,,Kepler,Kepler-137,0,,,Kepler-137 b,0,,8.43638700,2,1.470,0.131,,0,0.95 m Kepler Telescope,1,282.135534,2014-05-14,,,,12.990,0.80,5187.00,http://exoplanet.eu/catalog/kepler-137_b/,http://exoplanets.org/detail/Kepler-137_b
43.039101,,,0,0,,2014,Transit,,Kepler,Kepler-137,0,,,Kepler-137 c,0,,18.73575300,2,1.880,0.168,,0,0.95 m Kepler Telescope,1,282.135534,2014-05-14,,,,12.990,0.80,5187.00,http://exoplanet.eu/catalog/kepler-137_c/,http://exoplanets.org/detail/Kepler-137_c
43.292973,,,0,0,2.60000,2014,Transit,,Kepler,Kepler-138,0,0.06600,0.00021,Kepler-138 b,0,,10.31260000,3,0.522,0.047,,0,0.95 m Kepler Telescope,1,290.381547,2015-06-17,,,0.52,12.925,0.44,3841.00,,http://exoplanets.org/detail/Kepler-138_b
43.292973,,,0,0,6.20000,2014,Transit,,Kepler,Kepler-138,0,1.97000,0.00620,Kepler-138 c,0,,13.78130000,3,1.197,0.107,,0,0.95 m Kepler Telescope,1,290.381547,2015-06-17,,,0.52,12.925,0.44,3841.00,http://exoplanet.eu/catalog/kepler-138_c/,
